Category;ID;Keyword;Content;Image_File
Tarot;T001;바보;새로운 시작, 자유, 무한한 가능성을 상징합니다. 두려움 없이 미지의 세계로 첫발을 내딛으세요.;major_00.jpg
Tarot;T002;바보 역방향;미성숙함, 무모함, 책임감 부족을 나타냅니다. 행동하기 전 현실적인 위험을 다시 한번 점검해야 합니다.;major_00.jpg
Tarot;T003;마법사;창조성, 능력 발휘, 잠재력을 상징합니다. 당신의 모든 능력을 동원하여 계획을 현실로 만드세요.;major_01.jpg
Tarot;T004;마법사 역방향;능력 부족, 기만, 잠재력을 낭비하는 상황을 나타냅니다. 잠시 멈추어 진정한 역량을 키워야 합니다.;major_01.jpg
Tarot;T005;여사제;직관, 내면의 지혜, 비밀을 상징합니다. 겉으로 드러난 사실보다 내면의 목소리에 집중하세요.;major_02.jpg
Tarot;T006;여사제 역방향;표면적인 지식에 갇히거나 직관을 거부하는 상황을 나타냅니다. 숨겨진 진실을 놓치지 않도록 주의하세요.;major_02.jpg
Tarot;T007;여황제;풍요, 결실, 여성적인 에너지를 상징합니다. 주변의 모든 환경과 관계에서 만족스러운 결실을 맺게 됩니다.;major_03.jpg
Tarot;T008;여황제 역방향;불임, 사치, 의존성 또는 결실의 지연을 나타냅니다. 과도한 욕심을 버리고 스스로의 힘으로 문제를 해결해야 합니다.;major_03.jpg
Tarot;T009;황제;권위, 안정, 통제, 리더십을 상징합니다. 확고한 리더십으로 당신의 영역에서 질서를 확립하고 안정감을 찾으세요.;major_04.jpg
Tarot;T010;황제 역방향;미숙함, 독단적 태도, 무능력을 나타냅니다. 지나친 통제욕을 버리고 주변의 조언을 받아들여야 합니다.;major_04.jpg
Tarot;T011;교황;전통, 가르침, 조언, 종교를 상징합니다. 존경하는 멘토나 전문가의 조언을 듣고 올바른 길을 따르세요.;major_05.jpg
Tarot;T012;교황 역방향;낡은 생각, 편견, 충고 무시를 나타냅니다. 정해진 틀을 벗어나 새로운 관점으로 문제를 해결해야 합니다.;major_05.jpg
Tarot;T013;연인;사랑, 선택, 조화, 관계를 상징합니다. 중대한 선택의 기로에 놓였으며, 당신의 마음이 이끄는 대로 결정하세요.;major_06.jpg
Tarot;T014;연인 역방향;관계의 불화, 잘못된 선택, 갈등을 나타냅니다. 성급한 결정은 후회를 낳으니 신중하게 관계를 돌아보세요.;major_06.jpg
Tarot;T015;전차;승리, 의지, 통제력, 전진을 상징합니다. 강한 추진력으로 목표를 향해 나아가세요. 성공이 당신을 기다립니다.;major_07.jpg
Tarot;T016;전차 역방향;통제 상실, 방향 상실, 실패를 나타냅니다. 잠시 멈추어 목표를 재정립하고 통제력을 회복해야 합니다.;major_07.jpg
Tarot;T017;힘;용기, 인내, 부드러운 힘을 상징합니다. 겉으로 드러나는 힘보다 내면의 부드러운 인내심으로 난관을 극복하세요.;major_08.jpg
Tarot;T018;힘 역방향;무력감, 자기 의심, 분노 표출을 나타냅니다. 내면의 두려움을 극복하고 당신의 능력을 믿어야 합니다.;major_08.jpg
Tarot;T019;은둔자;성찰, 탐구, 고독, 내면의 빛을 상징합니다. 잠시 세상과 거리를 두고 자신을 돌아보는 시간을 가져야 합니다.;major_09.jpg
Tarot;T020;은둔자 역방향;고립, 세상 거부, 외로움을 나타냅니다. 당신의 지혜를 주변과 나누고 고립에서 벗어나야 합니다.;major_09.jpg
Tarot;T021;운명의 수레바퀴;행운, 변화, 기회, 전환점을 상징합니다. 당신에게 유리한 운명의 전환이 시작되니 기회를 놓치지 마세요.;major_10.jpg
Tarot;T022;운명의 수레바퀴 역방향;불운, 정체, 외부적 방해를 나타냅니다. 변화를 기다리기보다 스스로 상황을 개선하기 위해 노력해야 합니다.;major_10.jpg
Tarot;T023;정의;균형, 공정, 진실, 법을 상징합니다. 모든 상황을 객관적으로 바라보고 공정한 결정을 내리세요.;major_11.jpg
Tarot;T024;정의 역방향;불공정, 편견, 법적 문제를 나타냅니다. 당신의 편견을 버리고 모든 관계에서 공정함을 지켜야 합니다.;major_11.jpg
Tarot;T025;매달린 사람;희생, 새로운 시각, 정지를 상징합니다. 모든 것을 멈추고 관점을 바꾸면 새로운 해결책이 보일 것입니다.;major_12.jpg
