Category;ID;Keyword;Content;Image_File
Horoscope;H_GE_001;빠른 사고;오늘 쌍둥이자리는 번개처럼 빠른 사고력을 발휘합니다. 신속하게 판단하세요. 빠름이 경쟁력입니다.;horoscope_gemini.png
Horoscope;H_GE_002;유연한 대화;쌍둥이자리가 유연한 대화로 모두를 매료시키는 날입니다. 대화하세요. 대화가 무기입니다.;horoscope_gemini.png
Horoscope;H_GE_003;호기심 충만;오늘은 쌍둥이자리의 호기심이 새로운 발견을 이끕니다. 궁금해하세요. 호기심이 배움입니다.;horoscope_gemini.png
Horoscope;H_GE_004;다재다능함;쌍둥이자리가 다재다능하게 여러 일을 처리하는 날입니다. 멀티태스킹하세요. 다재다능이 강점입니다.;horoscope_gemini.png
Horoscope;H_GE_005;수성의 지혜;오늘 쌍둥이자리는 지배 행성 수성의 지혜를 받습니다. 지혜롭게 행동하세요. 수성이 당신을 인도합니다.;horoscope_gemini.png
Horoscope;H_GE_006;사교적 매력;쌍둥이자리의 사교적 매력이 빛나는 날입니다. 사교하세요. 매력이 인맥입니다.;horoscope_gemini.png
Horoscope;H_GE_007;정보 수집;오늘은 쌍둥이자리가 유용한 정보를 수집합니다. 정보를 모으세요. 정보가 힘입니다.;horoscope_gemini.png
Horoscope;H_GE_008;순발력 최고;쌍둥이자리의 순발력이 문제를 즉시 해결하는 날입니다. 빠르게 반응하세요. 순발력이 해결책입니다.;horoscope_gemini.png
Horoscope;H_GE_009;변화 적응;오늘 쌍둥이자리는 변화에 빠르게 적응합니다. 유연하세요. 적응력이 생존입니다.;horoscope_gemini.png
Horoscope;H_GE_010;재치 발휘;쌍둥이자리가 재치로 분위기를 살리는 날입니다. 재치있게 말하세요. 재치가 인기입니다.;horoscope_gemini.png
Horoscope;H_GE_011;쌍둥이 에너지;오늘 쌍둥이자리는 이중적 에너지로 두 배의 성과를 냅니다. 두 가지를 동시에 하세요. 쌍둥이가 당신입니다.;horoscope_gemini.png
Horoscope;H_GE_012;바람의 속도;쌍둥이자리가 바람처럼 빠르게 움직이는 날입니다. 날아가세요. 바람이 속도입니다.;horoscope_gemini.png
Horoscope;H_GE_013;지적 탐구;오늘은 쌍둥이자리가 지적 탐구에 몰두합니다. 탐구하세요. 지성이 즐거움입니다.;horoscope_gemini.png
