Category;ID;Keyword;Content;Image_File
Horoscope;H_AQ_001;독창적 아이디어;오늘 물병자리는 독창적이고 혁신적인 아이디어를 떠올립니다. 창의성을 발휘하세요. 독창성이 미래를 만듭니다.;horoscope_aquarius.png
Horoscope;H_AQ_002;인도주의 정신;물병자리가 인류애로 세상을 더 나은 곳으로 만드는 날입니다. 박애정신을 실천하세요. 사랑이 세상을 바꿉니다.;horoscope_aquarius.png
Horoscope;H_AQ_003;자유로운 사고;오늘은 물병자리의 자유로운 사고가 고정관념을 깹니다. 틀을 벗어나세요. 자유가 혁신을 낳습니다.;horoscope_aquarius.png
Horoscope;H_AQ_004;미래 비전;물병자리가 미래를 내다보는 비전을 가지는 날입니다. 앞서가세요. 비전이 현실이 됩니다.;horoscope_aquarius.png
Horoscope;H_AQ_005;진보적 변화;오늘 물병자리는 진보적 변화를 주도합니다. 혁명가가 되세요. 변화가 진화입니다.;horoscope_aquarius.png
Horoscope;H_AQ_006;우정의 가치;물병자리가 진정한 우정의 가치를 깨닫는 날입니다. 친구와 함께하세요. 우정이 삶을 풍요롭게 합니다.;horoscope_aquarius.png
Horoscope;H_AQ_007;과학적 접근;오늘은 물병자리가 과학적 방법으로 문제를 해결합니다. 논리적으로 사고하세요. 과학이 진보입니다.;horoscope_aquarius.png
Horoscope;H_AQ_008;개성 표현;물병자리가 독특한 개성을 마음껏 표현하는 날입니다. 다르게 사세요. 개성이 매력입니다.;horoscope_aquarius.png
Horoscope;H_AQ_009;발명의 영감;오늘 물병자리는 새로운 발명이나 혁신의 영감을 받습니다. 창조하세요. 발명이 세상을 바꿉니다.;horoscope_aquarius.png
Horoscope;H_AQ_010;집단 의식;물병자리가 집단의 의식과 연결되는 날입니다. 공동체와 하나되세요. 연대가 힘입니다.;horoscope_aquarius.png
Horoscope;H_AQ_011;혁명적 에너지;오늘 물병자리는 세상을 뒤집을 혁명적 에너지로 가득합니다. 구태를 타파하세요. 혁명이 새로운 세상을 열어줍니다.;horoscope_aquarius.png
Horoscope;H_AQ_012;천재적 발상;물병자리의 천재적인 발상이 모두를 놀라게 하는 날입니다. 번뜩이는 아이디어를 실현하세요. 천재성이 빛납니다.;horoscope_aquarius.png
