Category;ID;Keyword;Content;Image_File
Horoscope;H_TA_001;안정된 기반;오늘 황소자리는 든든한 기반 위에서 안정감을 느낍니다. 토대를 다지세요. 안정이 성공의 기반입니다.;horoscope_taurus.png
Horoscope;H_TA_002;풍요로운 하루;황소자리에게 풍요와 만족이 가득한 날입니다. 풍요를 누리세요. 풍요가 행복입니다.;horoscope_taurus.png
Horoscope;H_TA_003;감각의 향연;오늘은 황소자리의 오감이 즐거움으로 충만합니다. 감각을 즐기세요. 감각이 삶의 질입니다.;horoscope_taurus.png
Horoscope;H_TA_004;인내의 결실;황소자리의 오랜 인내가 열매를 맺는 날입니다. 수확하세요. 인내가 보상받습니다.;horoscope_taurus.png
Horoscope;H_TA_005;금성의 사랑;오늘 황소자리는 지배 행성 금성의 사랑을 듬뿍 받습니다. 사랑하세요. 금성이 당신을 축복합니다.;horoscope_taurus.png
Horoscope;H_TA_006;현실적 판단;황소자리가 현실적 판단으로 올바른 선택을 하는 날입니다. 실용적으로 생각하세요. 현실이 답입니다.;horoscope_taurus.png
Horoscope;H_TA_007;소유의 기쁨;오늘은 황소자리가 소유의 기쁨을 느낍니다. 가진 것에 감사하세요. 소유가 만족입니다.;horoscope_taurus.png
Horoscope;H_TA_008;꾸준한 전진;황소자리가 꾸준히 전진하여 목표에 다가가는 날입니다. 꾸준히 가세요. 꾸준함이 성공입니다.;horoscope_taurus.png
Horoscope;H_TA_009;물질적 만족;오늘 황소자리는 물질적 만족을 누립니다. 물질을 즐기세요. 물질도 행복의 요소입니다.;horoscope_taurus.png
Horoscope;H_TA_010;대지의 힘;황소자리가 대지의 힘을 받아 견고해지는 날입니다. 땅에 뿌리내리세요. 대지가 힘입니다.;horoscope_taurus.png
Horoscope;H_TA_011;느린 템포;오늘 황소자리는 느린 템포로 확실하게 나아갑니다. 천천히 가세요. 느림이 확실함입니다.;horoscope_taurus.png
Horoscope;H_TA_012;튼튼한 체력;황소자리의 튼튼한 체력이 빛을 발하는 날입니다. 체력을 믿으세요. 튼튼함이 자산입니다.;horoscope_taurus.png
Horoscope;H_TA_013;실용적 선택;오늘은 황소자리가 실용적인 선택으로 이득을 봅니다. 실용성을 추구하세요. 실용이 지혜입니다.;horoscope_taurus.png
Horoscope;H_TA_014;축적의 기쁨;황소자리가 차곡차곡 축적하는 기쁨을 느끼는 날입니다. 모으세요. 축적이 재산입니다.;horoscope_taurus.png
Horoscope;H_TA_015;편안한 안식;오늘 황소자리는 편안한 안식을 취합니다. 편히 쉬세요. 편안함이 치유입니다.;horoscope_taurus.png
