Category;ID;Keyword;Content;Image_File
Main;M01;안정적 기반;당신의 견고하고 안정적인 기운과 오늘의 책임감 있는 기운(己丑)이 만나 내실을 다지는 데 집중하기 좋은 하루입니다.  현실적인 계획이 빛을 발하며, 오늘은 사랑을 베풀수록 더 많은 것이 되돌아올 것입니다.;main_01.png
Main;M02;긍정적 전환;기대하지 않았던 곳에서 뜻밖의 좋은 소식이 들려옵니다.  적극적인 자세로 기회를 포착하고 변화를 두려워하지 마세요.;main_02.png
Main;M03;실속/결실;겉으로 드러나는 화려함보다는 내실을 다지는 데 집중하는 것이 좋습니다.  작은 성과라도 소중히 다룬다면 큰 결실의 바탕이 될 것입니다.;main_03.png
Main;M04;에너지 충전;오늘은 주변의 방해 없이 오직 자신만을 위해 시간을 투자해야 합니다.  충전된 에너지가 내일의 큰 성공을 만듭니다.;main_04.png
Main;M05;관계 발전;오랫동안 소원했던 사람과 관계를 회복하거나 새로운 귀인을 만날 수 있습니다.  진실된 마음으로 소통하세요.;main_05.png
Main;M06;새로운 시작;멈추지 않고 나아가면 새로운 길이 열리는 날입니다.  작은 두려움을 이겨내고 한 걸음 내딛으세요.;main_06.png
Main;M07;창조적 영감;예술적이거나 창의적인 분야에서 뛰어난 능력을 발휘할 수 있습니다.  상상력을 마음껏 펼쳐보세요.;main_07.png
Main;M08;명예/인정;당신의 노력과 능력이 주변 사람들에게 인정받는 하루입니다.  겸손함을 유지하며 성과를 즐기세요.;main_08.png
Main;M09;협력의 중요성;혼자 모든 것을 해결하려 하지 말고 주변 사람들과 협력할 때 더 큰 시너지를 얻을 수 있습니다.  타인의 의견을 존중하세요.;main_09.png
Main;M10;심리적 안정;마음이 편안하고 안정되어 있어 어떤 일이든 순조롭게 진행되는 하루입니다.  명상이나 가벼운 산책이 좋습니다.;main_10.png
Main;M11;내부 점검;겉으로 보이는 것보다 내부적인 시스템이나 계획을 점검하는 데 시간을 할애해야 합니다.  기초를 튼튼히 다지세요.;main_11.png
Main;M12;변화의 물결;예상치 못한 변화가 찾아올 수 있지만, 이는 결국 당신에게 이로운 방향으로 흐를 것입니다.  유연하게 대처하세요.;main_12.png
Main;M13;재정적 행운;재물 운이 강한 날입니다.  투자나 재테크에 대한 긍정적인 소식을 기대해도 좋습니다.;main_13.png
Main;M14;책임감 강조;오늘 맡은 일에 대해 강한 책임감을 가져야 합니다.  성실한 모습이 미래의 더 큰 기회를 만듭니다.;main_14.png
Main;M15;균형의 중요성;일과 휴식, 감정과 이성 사이에서 균형을 잡는 것이 중요한 하루입니다.  한쪽에 치우치지 마세요.;main_15.png
Main;M16;감사하는 마음;현재 가진 것에 대해 감사하는 마음을 가질 때, 더 많은 행운이 당신에게 돌아올 것입니다.  작은 것에 만족하세요.;main_16.png
Main;M17;여행/이동;새로운 장소로의 이동이나 여행 계획을 세우는 데 좋은 날입니다.  기분 전환이 필요합니다.;main_17.png
Main;M18;단호한 결정;미루어 왔던 일을 단호하게 결정하고 실행에 옮길 때입니다.  망설임을 버리고 추진하세요.;main_18.png
Main;M19;직관력 발휘;오늘 당신의 직감은 매우 예리합니다.  논리보다는 첫 느낌이나 직관을 믿고 따라가 보세요.;main_19.png
Main;M20;새로운 도전;익숙한 것에서 벗어나 새로운 분야에 도전해 보세요.  작은 시도가 큰 성과로 이어질 수 있습니다.;main_20.png
Main;M21;인간 관계 확장;폭넓은 인간관계를 통해 새로운 정보와 기회를 얻을 수 있습니다.  모임에 적극적으로 참여하세요.;main_21.png
Main;M22;계획 재정비;지금까지의 계획을 점검하고 보완하는 데 집중해야 합니다.  빈틈을 채워야 완벽해집니다.;main_22.png
Main;M23;자신감 회복;스스로의 가치를 의심하지 마세요.  당신의 당당한 모습이 주변 사람들에게 긍정적인 영향을 줍니다.;main_23.png
Main;M24;행운의 물결;오늘은 당신의 뜻대로 일이 술술 풀리는 행운의 날입니다.  원하는 것을 마음껏 추구하세요.;main_24.png
Main;M25;실수 만회;과거의 실수를 만회할 기회가 찾아옵니다.  겸허한 자세로 다시 한번 도전하세요.;main_25.png
Main;M26;미래 준비;당장의 성과보다는 미래를 위한 투자나 학습에 시간을 쓰는 것이 이롭습니다.  장기적인 안목을 가지세요.;main_26.png
Main;M27;원칙 준수;편법이나 지름길을 찾기보다 원칙과 기본에 충실해야 합니다.  정도를 걸을 때 인정받습니다.;main_27.png
Main;M28;마음의 여유;바쁜 일상 속에서도 잠시 멈춰서 여유를 가져야 합니다.  작은 행복을 놓치지 마세요.;main_28.png
Main;M29;대화/소통;오해를 풀고 관계를 개선하기 위해 솔직하고 열린 마음으로 대화해야 합니다.  대화의 물꼬를 트세요.;main_29.png
Main;M30;휴식 필요;피로가 쌓이기 쉬운 날입니다.  중요한 일은 잠시 미루고 충분한 휴식을 취하세요.;main_30.png
Main;M31;장애물 극복;당신을 방해하는 장애물이 나타날 수 있지만, 강한 의지로 극복할 수 있습니다.  어려움 속에서 성장하세요.;main_31.png
