Category;ID;Keyword;Content;Image_File
Horoscope;H_CA_001;깊은 감성;오늘 게자리는 깊은 감성으로 세상을 느낍니다. 감성을 표현하세요. 감성이 당신의 힘입니다.;horoscope_cancer.png
Horoscope;H_CA_002;가정의 평화;게자리에게 가정의 평화가 찾아오는 날입니다. 가족과 함께하세요. 가정이 안식처입니다.;horoscope_cancer.png
Horoscope;H_CA_003;모성애 발휘;오늘은 게자리의 따뜻한 모성애가 빛납니다. 돌보세요. 모성이 사랑입니다.;horoscope_cancer.png
Horoscope;H_CA_004;보호 본능;게자리가 소중한 사람을 보호하는 날입니다. 지켜주세요. 보호가 사랑입니다.;horoscope_cancer.png
Horoscope;H_CA_005;달의 축복;오늘 게자리는 지배 행성 달의 축복을 받습니다. 달빛을 받으세요. 달이 당신을 비춥니다.;horoscope_cancer.png
Horoscope;H_CA_006;직관의 목소리;게자리의 예리한 직관이 올바른 길을 인도하는 날입니다. 직관을 따르세요. 직관이 진실입니다.;horoscope_cancer.png
Horoscope;H_CA_007;추억 회상;오늘은 게자리가 소중한 추억을 회상합니다. 추억을 떠올리세요. 추억이 힘입니다.;horoscope_cancer.png
Horoscope;H_CA_008;안전한 공간;게자리가 안전한 공간에서 평온을 느끼는 날입니다. 안전을 찾으세요. 안전이 평화입니다.;horoscope_cancer.png
Horoscope;H_CA_009;감정 충만;오늘 게자리는 감정이 충만하고 풍부합니다. 감정을 느끼세요. 감정이 삶입니다.;horoscope_cancer.png
Horoscope;H_CA_010;물의 치유;게자리가 물의 치유력을 받는 날입니다. 물에 몸을 담그세요. 물이 치유입니다.;horoscope_cancer.png
Horoscope;H_CA_011;집안 정리;오늘 게자리는 집을 정리하며 마음을 정돈합니다. 정리하세요. 정리가 치유입니다.;horoscope_cancer.png
Horoscope;H_CA_012;요리의 즐거움;게자리가 요리로 사랑을 표현하는 날입니다. 요리하세요. 요리가 사랑입니다.;horoscope_cancer.png
Horoscope;H_CA_013;가족 모임;오늘은 게자리가 가족과 함께 행복한 시간을 보냅니다. 모이세요. 가족이 전부입니다.;horoscope_cancer.png
Horoscope;H_CA_014;아늑한 시간;게자리가 아늑한 공간에서 편안함을 느끼는 날입니다. 아늑하게 지내세요. 아늑함이 행복입니다.;horoscope_cancer.png
Horoscope;H_CA_015;감정 이입;오늘 게자리는 타인의 감정에 깊이 공감합니다. 공감하세요. 공감이 연결입니다.;horoscope_cancer.png
Horoscope;H_CA_016;껍질 안의 안전;게자리가 게처럼 껍질 속에서 안전함을 느끼는 날입니다. 보호하세요. 껍질이 안전입니다.;horoscope_cancer.png
Horoscope;H_CA_017;육아의 기쁨;오늘은 게자리가 돌보는 일에서 기쁨을 찾습니다. 돌보세요. 돌봄이 사랑입니다.;horoscope_cancer.png
Horoscope;H_CA_018;정서적 안정;게자리가 정서적으로 안정된 하루를 보내는 날입니다. 안정되세요. 안정이 행복입니다.;horoscope_cancer.png
Horoscope;H_CA_019;과거와 연결;오늘 게자리는 과거와 연결되어 지혜를 얻습니다. 되돌아보세요. 과거가 선생입니다.;horoscope_cancer.png
Horoscope;H_CA_020;달빛 산책;게자리가 달빛 아래 산책하며 평화를 느끼는 날입니다. 달빛 아래 걸으세요. 달빛이 치유입니다.;horoscope_cancer.png
Horoscope;H_CA_021;깊은 유대감;오늘 게자리는 사람들과 깊은 유대감을 형성합니다. 유대하세요. 유대가 관계입니다.;horoscope_cancer.png
Horoscope;H_CA_022;조용한 대화;게자리가 조용한 대화로 마음을 나누는 날입니다. 조용히 말하세요. 조용함이 깊이입니다.;horoscope_cancer.png
Horoscope;H_CA_023;가족 같은 친구;오늘은 게자리가 친구를 가족처럼 대합니다. 가족같이 대하세요. 친구가 가족입니다.;horoscope_cancer.png
